Date, Volume
2015-09-01, 4
2015-10-01, 4
2015-11-01, 4
2015-12-01, 4
2016-01-01, 4
2016-02-01, 4
2016-03-01, 4
2016-04-01, 4
2016-05-01, 4
2016-06-01, 4
2016-07-01, 4
2016-08-01, 4
2016-09-01, 4
2016-10-01, 4
2016-11-01, 4
2016-12-01, 4
2017-01-01, 4
2017-02-01, 4
2017-03-01, 4
2017-04-01, 4
2017-05-01, 4
2017-06-01, 4
2017-07-01, 4
2017-08-01, 4
2017-09-01, 4
2017-10-01, 4
2017-11-01, 4
2017-12-01, 4
2018-01-01, 4
2018-02-01, 4
2018-03-01, 4
2018-04-01, 4
2018-05-01, 4
2018-06-01, 4
2018-07-01, 4
2018-08-01, 4
2018-09-01, 4
2018-10-01, 4
2018-11-01, 4
2018-12-01, 4
2019-01-01, 4
2019-02-01, 4
2019-03-01, 4
2019-04-01, 4
2019-05-01, 4
2019-06-01, 4
2019-07-01, 4
2019-08-01, 4
2019-09-01, 2
2019-10-01, 2
2019-11-01, 2
2019-12-01, 2
2020-01-01, 2
2020-02-01, 4
2020-03-01, 2
2020-04-01, 2
2020-05-01, 6
2020-06-01, 4
2020-07-01, 6
2020-08-01, 10
2020-09-01, 4
2020-10-01, 8
2020-11-01, 10
2020-12-01, 14
2021-01-01, 28
2021-02-01, 18
2021-03-01, 28
2021-04-01, 22
2021-05-01, 34
2021-06-01, 22
2021-07-01, 28
2021-08-01, 34
2021-09-01, 28
2021-10-01, 34
2021-11-01, 22
2021-12-01, 42
2022-01-01, 42
2022-02-01, 42
2022-03-01, 28
2022-04-01, 18
2022-05-01, 28
2022-06-01, 18
2022-07-01, 14
2022-08-01, 10
2022-09-01, 8
2022-10-01, 17
2022-11-01, 25
2022-12-01, 34
2023-01-01, 24
2023-02-01, 31
2023-03-01, 45
2023-04-01, 41
2023-05-01, 41
2023-06-01, 26
2023-07-01, 48
2023-08-01, 53
2023-09-01, 46
2023-10-01, 36
2023-11-01, 50
2023-12-01, 64
2024-01-01, 45
2024-02-01, 62
2024-03-01, 61
2024-04-01, 60
2024-05-01, 76
2024-06-01, 95
2024-07-01, 184
2024-08-01, 209
2024-09-01, 184
2024-10-01, 101
2024-11-01, 120
2024-12-01, 133
2025-01-01, 119
2025-02-01, 126
2025-03-01, 153
2025-04-01, 111
2025-05-01, 157
2025-06-01, 130
2025-07-01, 133
2025-08-01, 236
2025-09-01, 224
2025-10-01, 303
2025-11-01, 639
2025-12-01, 778
2026-01-01, 570
2026-02-01, 642
2026-03-01, 633
2026-04-01, 490
2026-05-01, 699
2026-06-01, 586
2026-07-01, 724
2026-08-01, 793
2026-09-01, 572
2026-10-01, 623
2026-11-01, 773
2026-12-01, 760
2027-01-01, 676
2027-02-01, 760
